isbn13,titre,auteur_prenom,auteur_nom,date_publication,nb_pages,lien google book,recherche google
9782867465499,Qui a tué l'ayatollah Kanuni ?,Naïri,Nahapétian,03/06/2010,275,https://www.google.fr/books/edition/_/03IFSwAACAAJ?hl=fr,https://www.google.com/search?q=9782867465499
9782207256459,#N/A,Irène,Némirovsky,30/09/2004,448,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782207256459
9782080703323,"Voyage en Orient, tome 1",Gérard,Nerval,07/01/1993,416,https://www.google.fr/books/edition/_/ePuRAAAAIAAJ?hl=fr,https://www.google.com/search?q=9782080703323
9782080703330,"Voyage en Orient, volume 2",Gérard,Nerval,07/01/1993,384,https://www.google.fr/books/edition/_/p2SCPwAACAAJ?hl=fr,https://www.google.com/search?q=9782080703330
9782020003322,Les vingt Amériques latines 3,Marcel,Niedergang,01/03/1969,256,https://www.google.fr/books/edition/_/oTEcAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782020003322
9782748901719,Les chiens de garde,Paul,Nizan,14/03/2012,182,https://www.google.fr/books/edition/_/NNh9tgAACAAJ?hl=fr,https://www.google.com/search?q=9782748901719
9782253146889,Attentat,Amélie,Nothomb,07/11/2001,152,https://www.google.fr/books/edition/_/nxGGngEACAAJ?hl=fr,https://www.google.com/search?q=9782253146889
9782809709469,"Adieu, mon livre !",Kenzaburô,Oé,,,https://www.google.fr/books/edition/_/GLADngEACAAJ?hl=fr,https://www.google.com/search?q=9782809709469
9782752900807,Longue marche : à pied de la Méditerranée jusqu'en Chine par la route de la soie,Bernard,Ollivier,15/04/2005,352,https://www.google.fr/books/edition/_/w_qmswEACAAJ?hl=fr,https://www.google.com/search?q=9782752900807
9782857445234,Luberon,Patrick,Ollivier-Elliott,01/07/1991,,https://www.google.fr/books/edition/_/V-gXNQAACAAJ?hl=fr,https://www.google.com/search?q=9782857445234
9782253083849,Les sagesses antiques,Michel,Onfray,06/06/2007,350,https://www.google.fr/books/edition/_/-Z5VPwAACAAJ?hl=fr,https://www.google.com/search?q=9782253083849
9782020122078,L' exposition coloniale,Erik,Orsenna,07/06/1990,,https://www.google.fr/books/edition/_/QAtVPgAACAAJ?hl=fr,https://www.google.com/search?q=9782020122078
9782213682600,"La vie, la mort, la vie",Erik,Orsenna,16/09/2015,198,https://www.google.fr/books/edition/_/2-AIswEACAAJ?hl=fr,https://www.google.com/search?q=9782213682600
9782742763009,Tour d'Italie,Anna-Maria,Ortese,04/10/2006,400,https://www.google.fr/books/edition/_/rAhTAAAACAAJ?hl=fr,https://www.google.com/search?q=9782742763009
9782070375165,La Ferme des Animaux,George,Orwell,04/01/1984,150,https://www.google.fr/books/edition/_/XDE3ngEACAAJ?hl=fr,https://www.google.com/search?q=9782070375165
9782757889978,Là où chantent les écrevisses,Delia,Owens,20/05/2021,480,https://www.google.fr/books/edition/_/HOJpzgEACAAJ?hl=fr,https://www.google.com/search?q=9782757889978
9782914388580,Je suis corse et je n'en suis plus fier,Paul-Francois,Paoli,24/02/2005,128,https://www.google.fr/books/edition/_/o8QiAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782914388580
9782020069434,Découverte de l'Islam.,Roger,Pasquier,01/09/1984,192,https://www.google.fr/books/edition/_/b5v9AAAACAAJ?hl=fr,https://www.google.com/search?q=9782020069434
9782070216826,Un thé au Sahara,Bowles,Paul,,,https://www.google.fr/books/edition/_/YUB-AAAACAAJ?hl=fr,https://www.google.com/search?q=9782070216826
9782070378951,Le Métier de vivre,Cesare,Pavese,25/11/1987,480,https://www.google.fr/books/edition/_/PWjdAAAACAAJ?hl=fr,https://www.google.com/search?q=9782070378951
9782020115568,Petit guide du ciel,Bernard,Pellequer,28/02/1990,89,https://www.google.fr/books/edition/_/2e8XtAEACAAJ?hl=fr,https://www.google.com/search?q=9782020115568
9782867441615,53 jours,Georges,Perec,01/09/1989,336,https://www.google.fr/books/edition/_/AfdcAAAAMAAJ?hl=fr,https://www.google.com/search?q=9782867441615
9782020663991,La reine du Sud,Arturo,Pérez-Reverte,18/05/2004,544,https://www.google.fr/books/edition/_/yDVIHwAACAAJ?hl=fr,https://www.google.com/search?q=9782020663991
9782020050746,Pour en finir avec le Moyen Age,Régine,Pernoud,01/02/1979,158,https://www.google.fr/books/edition/_/LG3DQgAACAAJ?hl=fr,https://www.google.com/search?q=9782020050746
9782234057753,Le musée de la Sirène,Petitjean-Cerf-C,Petitjean-Cerf-C,08/11/2021,116,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782234057753
9782213006710,Quand la Chine s'éveillera-- le monde tremblera,Alain,Peyrefitte,24/01/1980,500,https://www.google.fr/books/edition/_/Z4sLMQAACAAJ?hl=fr,https://www.google.com/search?q=9782213006710
9782746501300,Qu'est-ce que l'humain ?,Pascal,Picq,27/05/2003,128,https://www.google.fr/books/edition/_/KuvoPAAACAAJ?hl=fr,https://www.google.com/search?q=9782746501300
