isbn13,titre,auteur_prenom,auteur_nom,date_publication,nb_pages,lien google book,recherche google,cover
9782253180036,On ne badine pas avec l'amour : proverbe,Alfred,Musset,19/01/2000,185,https://www.google.fr/books/edition/_/y_c5PgAACAAJ?hl=fr,https://www.google.com/search?q=9782253180036,https://inventaire.io/img/entities/a4bf4796e50108315c0b185be6f7d1bf712b0f25
9782867465499,Qui a tué l'ayatollah Kanuni ?,Naïri,Nahapétian,03/06/2010,275,https://www.google.fr/books/edition/_/03IFSwAACAAJ?hl=fr,https://www.google.com/search?q=9782867465499,https://inventaire.io/img/entities/91fa57ca7f47c1b40bbc4a94dd193e4aeba6e07a
9782207256459,#N/A,Irène,Némirovsky,30/09/2004,448,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782207256459,
9782080703323,"Voyage en Orient, tome 1",Gérard,Nerval,07/01/1993,416,https://www.google.fr/books/edition/_/ePuRAAAAIAAJ?hl=fr,https://www.google.com/search?q=9782080703323,https://inventaire.io/img/entities/8715aa8cae15f8b8e5ab95c9e12af5e8fe9a83af
9782080703330,"Voyage en Orient, volume 2",Gérard,Nerval,07/01/1993,384,https://www.google.fr/books/edition/_/p2SCPwAACAAJ?hl=fr,https://www.google.com/search?q=9782080703330,https://inventaire.io/img/entities/479cc3f56959dcedf69e3a0a814c77a3948be610
9782020003322,Les vingt Amériques latines 3,Marcel,Niedergang,01/03/1969,256,https://www.google.fr/books/edition/_/oTEcAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782020003322,https://inventaire.io/img/entities/fa13abc363c09f959f55143daeca5336a03186ee
9782748901719,Les chiens de garde,Paul,Nizan,14/03/2012,182,https://www.google.fr/books/edition/_/NNh9tgAACAAJ?hl=fr,https://www.google.com/search?q=9782748901719,https://inventaire.io/img/entities/0c553657c38299fd7b1c2bd00018fc184520c3b1
9782253146889,Attentat,Amélie,Nothomb,07/11/2001,152,https://www.google.fr/books/edition/_/nxGGngEACAAJ?hl=fr,https://www.google.com/search?q=9782253146889,
9782809709469,"Adieu, mon livre !",Kenzaburô,Oé,,,https://www.google.fr/books/edition/_/GLADngEACAAJ?hl=fr,https://www.google.com/search?q=9782809709469,https://inventaire.io/img/entities/d0d4680fa573552365a508228b6aea132c3ac525
9782752900807,Longue marche : à pied de la Méditerranée jusqu'en Chine par la route de la soie,Bernard,Ollivier,15/04/2005,352,https://www.google.fr/books/edition/_/w_qmswEACAAJ?hl=fr,https://www.google.com/search?q=9782752900807,https://inventaire.io/img/entities/2d9397919832f3ab5a0ac1068f9dc4e67ec21e6d
9782857445234,Luberon,Patrick,Ollivier-Elliott,01/07/1991,,https://www.google.fr/books/edition/_/V-gXNQAACAAJ?hl=fr,https://www.google.com/search?q=9782857445234,https://inventaire.io/img/entities/22a75c273352b8768bf13f40806bbafae2dda72c
9782253083849,Les sagesses antiques,Michel,Onfray,06/06/2007,350,https://www.google.fr/books/edition/_/-Z5VPwAACAAJ?hl=fr,https://www.google.com/search?q=9782253083849,https://inventaire.io/img/entities/d52d668ab22983d1439e1f30a55cb1cecddc4e3d
9782020122078,L' exposition coloniale,Erik,Orsenna,07/06/1990,,https://www.google.fr/books/edition/_/QAtVPgAACAAJ?hl=fr,https://www.google.com/search?q=9782020122078,https://inventaire.io/img/entities/f5d662c9a615059e5d117403fdb5f24e053c6dbe
9782213682600,"La vie, la mort, la vie",Erik,Orsenna,16/09/2015,198,https://www.google.fr/books/edition/_/2-AIswEACAAJ?hl=fr,https://www.google.com/search?q=9782213682600,https://inventaire.io/img/entities/a1bafe148f24a20765bc61936855bd77479e5e3c
9782742763009,Tour d'Italie,Anna-Maria,Ortese,04/10/2006,400,https://www.google.fr/books/edition/_/rAhTAAAACAAJ?hl=fr,https://www.google.com/search?q=9782742763009,https://inventaire.io/img/entities/7e2ab8b2d4a84f797a0f0ff53d47c0a326726e61
9782070375165,La Ferme des Animaux,George,Orwell,04/01/1984,150,https://www.google.fr/books/edition/_/XDE3ngEACAAJ?hl=fr,https://www.google.com/search?q=9782070375165,https://inventaire.io/img/entities/aaa43b769cd57eb8f3bd5372d35b45e2ec75fee0
9782757889978,Là où chantent les écrevisses,Delia,Owens,20/05/2021,480,https://www.google.fr/books/edition/_/HOJpzgEACAAJ?hl=fr,https://www.google.com/search?q=9782757889978,https://inventaire.io/img/entities/0939c0d77b1483b78730988e176167f18386fb6f
9782914388580,Je suis corse et je n'en suis plus fier,Paul-Francois,Paoli,24/02/2005,128,https://www.google.fr/books/edition/_/o8QiAQAAIAAJ?hl=fr,https://www.google.com/search?q=9782914388580,https://inventaire.io/img/entities/03871d29df823eef41097dd8ddeccd6a2e92f5d9
9782020069434,Découverte de l'Islam.,Roger,Pasquier,01/09/1984,192,https://www.google.fr/books/edition/_/b5v9AAAACAAJ?hl=fr,https://www.google.com/search?q=9782020069434,https://inventaire.io/img/entities/9ed00563bb3698dfe1853a3bfd6a9861acdbd073
9782070216826,Un thé au Sahara,Bowles,Paul,,,https://www.google.fr/books/edition/_/YUB-AAAACAAJ?hl=fr,https://www.google.com/search?q=9782070216826,https://inventaire.io/img/entities/0a181490be39c705ff62ce4bf911ae938960db6e
9782070378951,Le Métier de vivre,Cesare,Pavese,25/11/1987,480,https://www.google.fr/books/edition/_/PWjdAAAACAAJ?hl=fr,https://www.google.com/search?q=9782070378951,https://inventaire.io/img/entities/6d49dfc207813b73fd010b44047557aab1e0858f
9782020115568,Petit guide du ciel,Bernard,Pellequer,28/02/1990,89,https://www.google.fr/books/edition/_/2e8XtAEACAAJ?hl=fr,https://www.google.com/search?q=9782020115568,https://inventaire.io/img/entities/60562f2971fbeec2607707f2529a1230af76a35c
9782867441615,53 jours,Georges,Perec,01/09/1989,336,https://www.google.fr/books/edition/_/AfdcAAAAMAAJ?hl=fr,https://www.google.com/search?q=9782867441615,https://inventaire.io/img/entities/e7bf05e648986d15c322bdbc7253bfba179740bc
9782020663991,La reine du Sud,Arturo,Pérez-Reverte,18/05/2004,544,https://www.google.fr/books/edition/_/yDVIHwAACAAJ?hl=fr,https://www.google.com/search?q=9782020663991,https://inventaire.io/img/entities/b0d8657916e5c809bf42c32167d5df707d77eeac
9782020050746,Pour en finir avec le Moyen Age,Régine,Pernoud,01/02/1979,158,https://www.google.fr/books/edition/_/LG3DQgAACAAJ?hl=fr,https://www.google.com/search?q=9782020050746,https://inventaire.io/img/entities/a1f9c4d899cab96a6332a67215db46cae8b5aa64
9782234057753,Le musée de la Sirène,Petitjean-Cerf-C,Petitjean-Cerf-C,08/11/2021,116,https://www.google.fr/books/edition/_/NOT_FOUND?hl=fr,https://www.google.com/search?q=9782234057753,https://inventaire.io/img/entities/66f30c42a127ac590410fcee7fe7932d3360dd92
9782213006710,Quand la Chine s'éveillera-- le monde tremblera,Alain,Peyrefitte,24/01/1980,500,https://www.google.fr/books/edition/_/Z4sLMQAACAAJ?hl=fr,https://www.google.com/search?q=9782213006710,https://inventaire.io/img/entities/2029b92ee285db69df4559f49ee696bddca3cfc6
9782746501300,Qu'est-ce que l'humain ?,Pascal,Picq,27/05/2003,128,https://www.google.fr/books/edition/_/KuvoPAAACAAJ?hl=fr,https://www.google.com/search?q=9782746501300,https://inventaire.io/img/entities/9870ca03651a33c9d5670b2f4215f1eeef2a13c1
9782259201407,"Mon Dieu, pourquoi ? : petites méditations sur la foi chrétienne et le sens de la vie",Abbé,Pierre,14/10/2005,110,https://www.google.fr/books/edition/_/oCWlQgAACAAJ?hl=fr,https://www.google.com/search?q=9782259201407,https://inventaire.io/img/entities/eba2bf1cd4b61052d638ab88f0ae6149c71b9b6e
